"datetime","TIME PERIOD","EUR_CZK"
"1999-01-04","04 Jan 1999","35.107"
"1999-01-05","05 Jan 1999","34.917"
"1999-01-06","06 Jan 1999","34.850"
"1999-01-07","07 Jan 1999","34.886"
"1999-01-08","08 Jan 1999","34.938"
"1999-01-11","11 Jan 1999","35.173"
"1999-01-12","12 Jan 1999","35.250"
"1999-01-13","13 Jan 1999","36.113"
"1999-01-14","14 Jan 1999","35.698"
"1999-01-15","15 Jan 1999","35.860"
"1999-01-18","18 Jan 1999","35.615"
"1999-01-19","19 Jan 1999","35.745"
"1999-01-20","20 Jan 1999","35.773"
"1999-01-21","21 Jan 1999","36.060"
"1999-01-22","22 Jan 1999","36.287"
"1999-01-25","25 Jan 1999","36.211"
"1999-01-26","26 Jan 1999","36.615"
"1999-01-27","27 Jan 1999","36.464"
"1999-01-28","28 Jan 1999","36.432"
"1999-01-29","29 Jan 1999","36.827"
"1999-02-01","01 Feb 1999","37.142"
"1999-02-02","02 Feb 1999","37.395"
"1999-02-03","03 Feb 1999","37.168"
"1999-02-04","04 Feb 1999","37.158"
"1999-02-05","05 Feb 1999","37.365"
"1999-02-08","08 Feb 1999","37.710"
"1999-02-09","09 Feb 1999","38.358"
"1999-02-10","10 Feb 1999","38.135"
"1999-02-11","11 Feb 1999","37.940"
"1999-02-12","12 Feb 1999","37.860"
"1999-02-15","15 Feb 1999","38.197"
"1999-02-16","16 Feb 1999","38.230"
"1999-02-17","17 Feb 1999","37.970"
"1999-02-18","18 Feb 1999","37.993"
"1999-02-19","19 Feb 1999","37.773"
"1999-02-22","22 Feb 1999","37.873"
"1999-02-23","23 Feb 1999","37.847"
"1999-02-24","24 Feb 1999","37.992"
"1999-02-25","25 Feb 1999","37.994"
"1999-02-26","26 Feb 1999","37.908"
"1999-03-01","01 Mar 1999","37.570"
"1999-03-02","02 Mar 1999","37.583"
"1999-03-03","03 Mar 1999","37.551"
"1999-03-04","04 Mar 1999","37.518"
"1999-03-05","05 Mar 1999","37.283"
"1999-03-08","08 Mar 1999","37.603"
"1999-03-09","09 Mar 1999","37.967"
"1999-03-10","10 Mar 1999","37.940"
"1999-03-11","11 Mar 1999","37.833"
"1999-03-12","12 Mar 1999","37.990"
"1999-03-15","15 Mar 1999","37.850"
"1999-03-16","16 Mar 1999","38.050"
"1999-03-17","17 Mar 1999","37.960"
"1999-03-18","18 Mar 1999","37.990"
"1999-03-19","19 Mar 1999","37.947"
"1999-03-22","22 Mar 1999","38.142"
"1999-03-23","23 Mar 1999","38.303"
"1999-03-24","24 Mar 1999","38.583"
"1999-03-25","25 Mar 1999","38.457"
"1999-03-26","26 Mar 1999","38.355"
"1999-03-29","29 Mar 1999","38.540"
"1999-03-30","30 Mar 1999","38.440"
"1999-03-31","31 Mar 1999","38.393"
"1999-04-01","01 Apr 1999","38.482"
"1999-04-02","02 Apr 1999","38.442"
"1999-04-05","05 Apr 1999","38.487"
"1999-04-06","06 Apr 1999","38.352"
"1999-04-07","07 Apr 1999","38.199"
"1999-04-08","08 Apr 1999","38.063"
"1999-04-09","09 Apr 1999","38.036"
"1999-04-12","12 Apr 1999","38.132"
"1999-04-13","13 Apr 1999","38.155"
"1999-04-14","14 Apr 1999","38.000"
"1999-04-15","15 Apr 1999","37.710"
"1999-04-16","16 Apr 1999","37.922"
"1999-04-19","19 Apr 1999","37.745"
"1999-04-20","20 Apr 1999","37.832"
"1999-04-21","21 Apr 1999","37.797"
"1999-04-22","22 Apr 1999","37.882"
"1999-04-23","23 Apr 1999","37.839"
"1999-04-26","26 Apr 1999","37.710"
"1999-04-27","27 Apr 1999","37.683"
"1999-04-28","28 Apr 1999","37.807"
"1999-04-29","29 Apr 1999","37.692"
"1999-04-30","30 Apr 1999","37.643"
"1999-05-03","03 May 1999","37.507"
"1999-05-04","04 May 1999","37.543"
"1999-05-05","05 May 1999","37.547"
"1999-05-06","06 May 1999","37.529"
"1999-05-07","07 May 1999","37.690"
"1999-05-10","10 May 1999","37.690"
"1999-05-11","11 May 1999","37.558"
"1999-05-12","12 May 1999","37.667"
"1999-05-13","13 May 1999","37.745"
"1999-05-14","14 May 1999","37.627"
"1999-05-17","17 May 1999","37.629"
"1999-05-18","18 May 1999","37.670"
"1999-05-19","19 May 1999","37.710"
"1999-05-20","20 May 1999","37.911"
"1999-05-21","21 May 1999","37.827"
"1999-05-24","24 May 1999","37.807"
"1999-05-25","25 May 1999","37.916"
"1999-05-26","26 May 1999","37.867"
"1999-05-27","27 May 1999","37.800"
"1999-05-28","28 May 1999","37.585"
"1999-05-31","31 May 1999","37.553"
"1999-06-01","01 Jun 1999","37.563"
"1999-06-02","02 Jun 1999","37.477"
"1999-06-03","03 Jun 1999","37.534"
"1999-06-04","04 Jun 1999","37.486"
"1999-06-07","07 Jun 1999","37.453"
"1999-06-08","08 Jun 1999","37.338"
"1999-06-09","09 Jun 1999","37.287"
"1999-06-10","10 Jun 1999","37.293"
"1999-06-11","11 Jun 1999","37.167"
"1999-06-14","14 Jun 1999","37.055"
"1999-06-15","15 Jun 1999","37.053"
"1999-06-16","16 Jun 1999","37.053"
"1999-06-17","17 Jun 1999","37.013"
"1999-06-18","18 Jun 1999","36.897"
"1999-06-21","21 Jun 1999","36.853"
"1999-06-22","22 Jun 1999","36.833"
"1999-06-23","23 Jun 1999","36.845"
"1999-06-24","24 Jun 1999","36.960"
"1999-06-25","25 Jun 1999","36.970"
"1999-06-28","28 Jun 1999","36.836"
"1999-06-29","29 Jun 1999","36.682"
"1999-06-30","30 Jun 1999","36.418"
"1999-07-01","01 Jul 1999","36.171"
"1999-07-02","02 Jul 1999","36.184"
"1999-07-05","05 Jul 1999","36.188"
"1999-07-06","06 Jul 1999","36.147"
"1999-07-07","07 Jul 1999","36.200"
"1999-07-08","08 Jul 1999","36.238"
"1999-07-09","09 Jul 1999","36.329"
"1999-07-12","12 Jul 1999","36.273"
"1999-07-13","13 Jul 1999","36.482"
"1999-07-14","14 Jul 1999","36.683"
"1999-07-15","15 Jul 1999","36.753"
"1999-07-16","16 Jul 1999","36.723"
"1999-07-19","19 Jul 1999","36.653"
"1999-07-20","20 Jul 1999","36.520"
"1999-07-21","21 Jul 1999","36.733"
"1999-07-22","22 Jul 1999","36.753"
"1999-07-23","23 Jul 1999","36.582"
"1999-07-26","26 Jul 1999","36.643"
"1999-07-27","27 Jul 1999","36.695"
"1999-07-28","28 Jul 1999","36.805"
"1999-07-29","29 Jul 1999","36.650"
"1999-07-30","30 Jul 1999","36.664"
"1999-08-02","02 Aug 1999","36.613"
"1999-08-03","03 Aug 1999","36.653"
"1999-08-04","04 Aug 1999","36.393"
"1999-08-05","05 Aug 1999","36.360"
"1999-08-06","06 Aug 1999","36.408"
"1999-08-09","09 Aug 1999","36.432"
"1999-08-10","10 Aug 1999","36.372"
"1999-08-11","11 Aug 1999","36.428"
"1999-08-12","12 Aug 1999","36.412"
"1999-08-13","13 Aug 1999","36.345"
"1999-08-16","16 Aug 1999","36.232"
"1999-08-17","17 Aug 1999","36.148"
"1999-08-18","18 Aug 1999","36.224"
"1999-08-19","19 Aug 1999","36.330"
"1999-08-20","20 Aug 1999","36.388"
"1999-08-23","23 Aug 1999","36.441"
"1999-08-24","24 Aug 1999","36.269"
"1999-08-25","25 Aug 1999","36.360"
"1999-08-26","26 Aug 1999","36.517"
"1999-08-27","27 Aug 1999","36.593"
"1999-08-30","30 Aug 1999","36.599"
"1999-08-31","31 Aug 1999","36.573"
"1999-09-01","01 Sep 1999","36.683"
"1999-09-02","02 Sep 1999","36.732"
"1999-09-03","03 Sep 1999","36.697"
"1999-09-06","06 Sep 1999","36.539"
"1999-09-07","07 Sep 1999","36.527"
"1999-09-08","08 Sep 1999","36.717"
"1999-09-09","09 Sep 1999","36.610"
"1999-09-10","10 Sep 1999","36.513"
"1999-09-13","13 Sep 1999","36.553"
"1999-09-14","14 Sep 1999","36.300"
"1999-09-15","15 Sep 1999","36.387"
"1999-09-16","16 Sep 1999","36.330"
"1999-09-17","17 Sep 1999","36.412"
"1999-09-20","20 Sep 1999","36.356"
"1999-09-21","21 Sep 1999","36.318"
"1999-09-22","22 Sep 1999","36.299"
"1999-09-23","23 Sep 1999","35.995"
"1999-09-24","24 Sep 1999","35.950"
"1999-09-27","27 Sep 1999","35.873"
"1999-09-28","28 Sep 1999","35.713"
"1999-09-29","29 Sep 1999","35.608"
"1999-09-30","30 Sep 1999","35.775"
"1999-10-01","01 Oct 1999","35.570"
"1999-10-04","04 Oct 1999","35.723"
"1999-10-05","05 Oct 1999","36.657"
"1999-10-06","06 Oct 1999","36.333"
"1999-10-07","07 Oct 1999","36.387"
"1999-10-08","08 Oct 1999","36.650"
"1999-10-11","11 Oct 1999","36.653"
"1999-10-12","12 Oct 1999","36.657"
"1999-10-13","13 Oct 1999","37.010"
"1999-10-14","14 Oct 1999","36.973"
"1999-10-15","15 Oct 1999","37.027"
"1999-10-18","18 Oct 1999","36.960"
"1999-10-19","19 Oct 1999","36.893"
"1999-10-20","20 Oct 1999","36.780"
"1999-10-21","21 Oct 1999","36.753"
"1999-10-22","22 Oct 1999","36.763"
"1999-10-25","25 Oct 1999","36.620"
"1999-10-26","26 Oct 1999","36.753"
"1999-10-27","27 Oct 1999","36.607"
"1999-10-28","28 Oct 1999","36.636"
"1999-10-29","29 Oct 1999","36.612"
"1999-11-01","01 Nov 1999","36.679"
"1999-11-02","02 Nov 1999","36.668"
"1999-11-03","03 Nov 1999","36.730"
"1999-11-04","04 Nov 1999","36.738"
"1999-11-05","05 Nov 1999","36.606"
"1999-11-08","08 Nov 1999","36.550"
"1999-11-09","09 Nov 1999","36.432"
"1999-11-10","10 Nov 1999","36.443"
"1999-11-11","11 Nov 1999","36.423"
"1999-11-12","12 Nov 1999","36.350"
"1999-11-15","15 Nov 1999","36.320"
"1999-11-16","16 Nov 1999","36.340"
"1999-11-17","17 Nov 1999","36.390"
"1999-11-18","18 Nov 1999","36.278"
"1999-11-19","19 Nov 1999","36.333"
"1999-11-22","22 Nov 1999","36.210"
"1999-11-23","23 Nov 1999","36.215"
"1999-11-24","24 Nov 1999","36.120"
"1999-11-25","25 Nov 1999","36.137"
"1999-11-26","26 Nov 1999","36.109"
"1999-11-29","29 Nov 1999","36.040"
"1999-11-30","30 Nov 1999","36.077"
"1999-12-01","01 Dec 1999","36.108"
"1999-12-02","02 Dec 1999","36.070"
"1999-12-03","03 Dec 1999","36.053"
"1999-12-06","06 Dec 1999","36.112"
"1999-12-07","07 Dec 1999","36.170"
"1999-12-08","08 Dec 1999","36.115"
"1999-12-09","09 Dec 1999","35.980"
"1999-12-10","10 Dec 1999","35.893"
"1999-12-13","13 Dec 1999","35.901"
"1999-12-14","14 Dec 1999","35.877"
"1999-12-15","15 Dec 1999","35.843"
"1999-12-16","16 Dec 1999","35.830"
"1999-12-17","17 Dec 1999","35.961"
"1999-12-20","20 Dec 1999","36.025"
"1999-12-21","21 Dec 1999","36.112"
"1999-12-22","22 Dec 1999","36.197"
"1999-12-23","23 Dec 1999","36.180"
"1999-12-24","24 Dec 1999","36.145"
"1999-12-27","27 Dec 1999","36.130"
"1999-12-28","28 Dec 1999","36.137"
"1999-12-29","29 Dec 1999","36.107"
"1999-12-30","30 Dec 1999","36.103"
"1999-12-31","31 Dec 1999"
"2000-01-03","03 Jan 2000","36.063"
"2000-01-04","04 Jan 2000","36.270"
"2000-01-05","05 Jan 2000","36.337"
"2000-01-06","06 Jan 2000","36.243"
"2000-01-07","07 Jan 2000","36.027"
"2000-01-10","10 Jan 2000","35.988"
"2000-01-11","11 Jan 2000","35.969"
"2000-01-12","12 Jan 2000","35.988"
"2000-01-13","13 Jan 2000","36.149"
"2000-01-14","14 Jan 2000","36.058"
"2000-01-17","17 Jan 2000","35.984"
"2000-01-18","18 Jan 2000","35.978"
"2000-01-19","19 Jan 2000","36.112"
"2000-01-20","20 Jan 2000","36.088"
"2000-01-21","21 Jan 2000","36.033"
"2000-01-24","24 Jan 2000","35.875"
"2000-01-25","25 Jan 2000","35.860"
"2000-01-26","26 Jan 2000","35.785"
"2000-01-27","27 Jan 2000","35.762"
"2000-01-28","28 Jan 2000","35.750"
"2000-01-31","31 Jan 2000","35.790"
"2000-02-01","01 Feb 2000","35.850"
"2000-02-02","02 Feb 2000","35.837"
"2000-02-03","03 Feb 2000","35.778"
"2000-02-04","04 Feb 2000","35.747"
"2000-02-07","07 Feb 2000","35.707"
"2000-02-08","08 Feb 2000","35.687"
"2000-02-09","09 Feb 2000","35.632"
"2000-02-10","10 Feb 2000","35.688"
"2000-02-11","11 Feb 2000","35.630"
"2000-02-14","14 Feb 2000","35.645"
"2000-02-15","15 Feb 2000","35.642"
"2000-02-16","16 Feb 2000","35.694"
"2000-02-17","17 Feb 2000","35.739"
"2000-02-18","18 Feb 2000","35.776"
"2000-02-21","21 Feb 2000","35.707"
"2000-02-22","22 Feb 2000","35.709"
"2000-02-23","23 Feb 2000","35.660"
"2000-02-24","24 Feb 2000","35.648"
"2000-02-25","25 Feb 2000","35.525"
"2000-02-28","28 Feb 2000","35.496"
"2000-02-29","29 Feb 2000","35.585"
"2000-03-01","01 Mar 2000","35.630"
"2000-03-02","02 Mar 2000","35.703"
"2000-03-03","03 Mar 2000","35.620"
"2000-03-06","06 Mar 2000","35.537"
"2000-03-07","07 Mar 2000","35.558"
