"datetime","TIME PERIOD","EUR_HUF"
"1999-01-04","04 Jan 1999","251.48"
"1999-01-05","05 Jan 1999","250.80"
"1999-01-06","06 Jan 1999","250.67"
"1999-01-07","07 Jan 1999","250.09"
"1999-01-08","08 Jan 1999","250.15"
"1999-01-11","11 Jan 1999","249.70"
"1999-01-12","12 Jan 1999","249.20"
"1999-01-13","13 Jan 1999","255.01"
"1999-01-14","14 Jan 1999","253.84"
"1999-01-15","15 Jan 1999","253.34"
"1999-01-18","18 Jan 1999","250.78"
"1999-01-19","19 Jan 1999","250.64"
"1999-01-20","20 Jan 1999","249.99"
"1999-01-21","21 Jan 1999","250.17"
"1999-01-22","22 Jan 1999","250.16"
"1999-01-25","25 Jan 1999","250.47"
"1999-01-26","26 Jan 1999","250.69"
"1999-01-27","27 Jan 1999","250.08"
"1999-01-28","28 Jan 1999","249.34"
"1999-01-29","29 Jan 1999","249.24"
"1999-02-01","01 Feb 1999","248.97"
"1999-02-02","02 Feb 1999","248.99"
"1999-02-03","03 Feb 1999","249.00"
"1999-02-04","04 Feb 1999","248.77"
"1999-02-05","05 Feb 1999","248.91"
"1999-02-08","08 Feb 1999","248.64"
"1999-02-09","09 Feb 1999","249.75"
"1999-02-10","10 Feb 1999","251.05"
"1999-02-11","11 Feb 1999","249.64"
"1999-02-12","12 Feb 1999","249.32"
"1999-02-15","15 Feb 1999","249.66"
"1999-02-16","16 Feb 1999","249.56"
"1999-02-17","17 Feb 1999","251.09"
"1999-02-18","18 Feb 1999","252.06"
"1999-02-19","19 Feb 1999","251.88"
"1999-02-22","22 Feb 1999","250.12"
"1999-02-23","23 Feb 1999","249.90"
"1999-02-24","24 Feb 1999","252.23"
"1999-02-25","25 Feb 1999","252.56"
"1999-02-26","26 Feb 1999","253.91"
"1999-03-01","01 Mar 1999","254.53"
"1999-03-02","02 Mar 1999","252.14"
"1999-03-03","03 Mar 1999","254.02"
"1999-03-04","04 Mar 1999","254.62"
"1999-03-05","05 Mar 1999","253.16"
"1999-03-08","08 Mar 1999","250.51"
"1999-03-09","09 Mar 1999","250.34"
"1999-03-10","10 Mar 1999","252.83"
"1999-03-11","11 Mar 1999","252.87"
"1999-03-12","12 Mar 1999","253.34"
"1999-03-15","15 Mar 1999","253.46"
"1999-03-16","16 Mar 1999","253.66"
"1999-03-17","17 Mar 1999","253.81"
"1999-03-18","18 Mar 1999","254.60"
"1999-03-19","19 Mar 1999","253.64"
"1999-03-22","22 Mar 1999","253.25"
"1999-03-23","23 Mar 1999","254.12"
"1999-03-24","24 Mar 1999","256.11"
"1999-03-25","25 Mar 1999","255.25"
"1999-03-26","26 Mar 1999","253.90"
"1999-03-29","29 Mar 1999","253.96"
"1999-03-30","30 Mar 1999","254.89"
"1999-03-31","31 Mar 1999","254.82"
