"DATE","TIME PERIOD","Euro/Romanian leu (EXR.D.RON.EUR.SP00.A)"
"1999-01-04","04 Jan 1999","1.3111"
"1999-01-05","05 Jan 1999","1.3168"
"1999-01-06","06 Jan 1999","1.3168"
"1999-01-07","07 Jan 1999","1.3092"
"1999-01-08","08 Jan 1999","1.3143"
"1999-01-11","11 Jan 1999","1.2980"
"1999-01-12","12 Jan 1999","1.2912"
"1999-01-13","13 Jan 1999","1.3149"
"1999-01-14","14 Jan 1999","1.3134"
"1999-01-15","15 Jan 1999","1.3164"
"1999-01-18","18 Jan 1999","1.3263"
"1999-01-19","19 Jan 1999","1.3335"
"1999-01-20","20 Jan 1999","1.3274"
"1999-01-21","21 Jan 1999","1.3282"
"1999-01-22","22 Jan 1999","1.3285"
"1999-01-25","25 Jan 1999","1.3318"
"1999-01-26","26 Jan 1999","1.3328"
"1999-01-27","27 Jan 1999","1.3302"
"1999-01-28","28 Jan 1999","1.3199"
"1999-01-29","29 Jan 1999","1.3280"
"1999-02-01","01 Feb 1999","1.3407"
"1999-02-02","02 Feb 1999","1.3596"
"1999-02-03","03 Feb 1999","1.3660"
"1999-02-04","04 Feb 1999","1.3655"
"1999-02-05","05 Feb 1999","1.3819"
"1999-02-08","08 Feb 1999","1.3718"
"1999-02-09","09 Feb 1999","1.3724"
"1999-02-10","10 Feb 1999","1.3773"
"1999-02-11","11 Feb 1999","1.3848"
"1999-02-12","12 Feb 1999","1.3664"
"1999-02-15","15 Feb 1999","1.3663"
"1999-02-16","16 Feb 1999","1.3694"
"1999-02-17","17 Feb 1999","1.3794"
"1999-02-18","18 Feb 1999","1.3857"
"1999-02-19","19 Feb 1999","1.3826"
"1999-02-22","22 Feb 1999","1.3680"
"1999-02-23","23 Feb 1999","1.3798"
"1999-02-24","24 Feb 1999","1.4068"
"1999-02-25","25 Feb 1999","1.4169"
"1999-02-26","26 Feb 1999","1.4075"
"1999-03-01","01 Mar 1999","1.4079"
"1999-03-02","02 Mar 1999","1.4117"
"1999-03-03","03 Mar 1999","1.4316"
