Név,Dátum,Nyitó ár,Maximum ár,Minimum ár,Utolsó ár
BUX,1991.01.02.,,,,1000.0
BUX,1991.01.03.,,,,1001.02
BUX,1991.01.04.,,,,996.33
BUX,1991.01.07.,,,,997.06
BUX,1991.01.08.,,,,1001.91
BUX,1991.01.09.,,,,997.92
BUX,1991.01.10.,,,,1000.65
BUX,1991.01.11.,,,,1004.69
BUX,1991.01.14.,,,,990.62
BUX,1991.01.15.,,,,991.61
BUX,1991.01.16.,,,,990.74
BUX,1991.01.17.,,,,990.36
BUX,1991.01.18.,,,,996.49
BUX,1991.01.21.,,,,1014.75
BUX,1991.01.22.,,,,1025.55
BUX,1991.01.23.,,,,1032.34
BUX,1991.01.24.,,,,1056.37
BUX,1991.01.25.,,,,1056.3
BUX,1991.01.28.,,,,1056.37
BUX,1991.01.29.,,,,1058.75
BUX,1991.01.30.,,,,1063.61
BUX,1991.01.31.,,,,1068.12
BUX,1991.02.01.,,,,1072.53
BUX,1991.02.04.,,,,1078.03
BUX,1991.02.05.,,,,1107.41
BUX,1991.02.06.,,,,1120.44
BUX,1991.02.07.,,,,1100.91
BUX,1991.02.08.,,,,1082.15
BUX,1991.02.11.,,,,1067.8
BUX,1991.02.12.,,,,1065.4
BUX,1991.02.13.,,,,1059.57
BUX,1991.02.14.,,,,1054.49
BUX,1991.02.15.,,,,1050.34
BUX,1991.02.18.,,,,1048.75
BUX,1991.02.19.,,,,1056.22
BUX,1991.02.20.,,,,1031.39
BUX,1991.02.21.,,,,1022.83
BUX,1991.02.22.,,,,1047.96
BUX,1991.02.25.,,,,1043.19
BUX,1991.02.26.,,,,1053.61
BUX,1991.02.27.,,,,1078.4
BUX,1991.02.28.,,,,1111.12
BUX,1991.03.01.,,,,1103.88
BUX,1991.03.04.,,,,1097.12
BUX,1991.03.05.,,,,1131.75
BUX,1991.03.06.,,,,1165.5
BUX,1991.03.07.,,,,1175.07
BUX,1991.03.08.,,,,1177.65
BUX,1991.03.11.,,,,1170.04
BUX,1991.03.12.,,,,1192.31
BUX,1991.03.13.,,,,1203.68
BUX,1991.03.14.,,,,1199.65
BUX,1991.03.18.,,,,1211.73
BUX,1991.03.19.,,,,1185.06
BUX,1991.03.20.,,,,1191.24
BUX,1991.03.21.,,,,1188.47
BUX,1991.03.22.,,,,1193.19
BUX,1991.03.25.,,,,1178.62
BUX,1991.03.26.,,,,1177.27
BUX,1991.03.27.,,,,1173.57
BUX,1991.03.28.,,,,1180.8
BUX,1991.03.29.,,,,1187.46
BUX,1991.04.02.,,,,1184.38
BUX,1991.04.03.,,,,1192.15
BUX,1991.04.04.,,,,1186.98
BUX,1991.04.05.,,,,1184.1
BUX,1991.04.08.,,,,1167.67
BUX,1991.04.09.,,,,1179.22
BUX,1991.04.10.,,,,1184.42
BUX,1991.04.11.,,,,1206.95
BUX,1991.04.12.,,,,1214.56
BUX,1991.04.15.,,,,1191.61
BUX,1991.04.16.,,,,1194.31
BUX,1991.04.17.,,,,1197.18
BUX,1991.04.18.,,,,1191.58
BUX,1991.04.19.,,,,1196.38
BUX,1991.04.22.,,,,1192.46
BUX,1991.04.23.,,,,1184.16
BUX,1991.04.24.,,,,1187.29
BUX,1991.04.25.,,,,1206.76
BUX,1991.04.26.,,,,1200.44
BUX,1991.04.29.,,,,1193.08
BUX,1991.04.30.,,,,1193.1
BUX,1991.05.02.,,,,1191.64
BUX,1991.05.03.,,,,1181.7
BUX,1991.05.06.,,,,1175.39
BUX,1991.05.07.,,,,1176.3
BUX,1991.05.08.,,,,1158.64
BUX,1991.05.09.,,,,1153.07
BUX,1991.05.10.,,,,1148.47
BUX,1991.05.13.,,,,1150.81
BUX,1991.05.14.,,,,1161.53
BUX,1991.05.15.,,,,1154.01
BUX,1991.05.16.,,,,1152.62
BUX,1991.05.17.,,,,1150.99
BUX,1991.05.20.,,,,1157.02
BUX,1991.05.21.,,,,1160.56
BUX,1991.05.22.,,,,1160.31
BUX,1991.05.23.,,,,1154.03
BUX,1991.05.24.,,,,1145.7
BUX,1991.05.27.,,,,1137.8
BUX,1991.05.28.,,,,1123.93
BUX,1991.05.29.,,,,1122.67
BUX,1991.05.30.,,,,1120.3
BUX,1991.05.31.,,,,1115.18
BUX,1991.06.03.,,,,1123.72
BUX,1991.06.04.,,,,1129.76
BUX,1991.06.05.,,,,1127.35
BUX,1991.06.06.,,,,1126.87
BUX,1991.06.07.,,,,1123.15
BUX,1991.06.10.,,,,1122.45
BUX,1991.06.11.,,,,1125.54
BUX,1991.06.12.,,,,1118.3
BUX,1991.06.13.,,,,1116.68
BUX,1991.06.14.,,,,1110.92
BUX,1991.06.17.,,,,1103.97
BUX,1991.06.18.,,,,1099.81
BUX,1991.06.19.,,,,1105.45
BUX,1991.06.20.,,,,1110.39
BUX,1991.06.21.,,,,1117.32
BUX,1991.06.24.,,,,1098.25
BUX,1991.06.25.,,,,1090.25
BUX,1991.06.26.,,,,1080.99
BUX,1991.06.27.,,,,1073.91
BUX,1991.06.28.,,,,1063.03
BUX,1991.07.01.,,,,1061.55
BUX,1991.07.02.,,,,1064.57
BUX,1991.07.03.,,,,1060.45
BUX,1991.07.04.,,,,1051.42
BUX,1991.07.05.,,,,1035.45
BUX,1991.07.08.,,,,1020.5
BUX,1991.07.09.,,,,1016.14
BUX,1991.07.10.,,,,997.21
BUX,1991.07.11.,,,,1007.2
BUX,1991.07.12.,,,,1020.08
BUX,1991.07.15.,,,,1018.48
